comparison,n,changed_rate,relative_l1
B/A,21110,0.0021790620558976787,0.002058553094267563
C/A,21110,0.9426811937470393,0.5900657527808723
D/A,21110,0.932449076267172,0.5836316141272991
D/B,21110,0.9345333964945524,0.5846705158292711
D/C,21110,0.010232117479867362,0.01733427658175925
