_step,epoch,action_dit_loss,learning_rate/base,learning_rate/pi05_model.paligemma_with_expert.gemma_expert,timing/data,timing/model,rtc_postfix_count,_runtime,_timestamp
780,0.09,0.02003420703113079,7.800000000000002e-06,3.9000000000000006e-05,0.0002886939998916205,0.6990924429999268,115,583.293945795,1786042627.4947991
790,0.09,0.006207701284438372,7.9e-06,3.9500000000000005e-05,0.0002994420001414255,0.6890551629999209,108,590.429465601,1786042634.6305656
800,0.09,0.00195807171985507,8.000000000000001e-06,4e-05,0.00027858599992214295,0.6982675169999766,113,597.642996048,1786042641.7661114
810,0.09,0.005777780897915363,8.1e-06,4.05e-05,0.00022618899993176456,0.8767127819999132,106,605.695148978,1786042648.9795809
820,0.09,0.012548455968499184,8.2e-06,4.1e-05,0.00020864899988737307,0.7232920480000757,117,612.738830639,1786042657.031781
830,0.09,0.00959142204374075,8.3e-06,4.15e-05,0.00028263699982744583,0.7315573690000292,109,619.856031294,1786042664.07536
840,0.09,0.007849393412470818,8.400000000000001e-06,4.2e-05,0.0002124449999882927,0.7283717209998031,110,626.96974842,1786042671.1926906
850,0.1,0.004166943021118641,8.5e-06,4.25e-05,0.00047237800004040764,0.7160557710001285,112,634.856945003,1786042678.306417
860,0.1,0.006601734086871147,8.6e-06,4.3e-05,0.0002260400001432572,0.6849367190000066,109,641.996621573,1786042686.1935034
870,0.1,0.0032238755375146866,8.700000000000001e-06,4.35e-05,0.00023228200006997213,0.7075302850000753,117,648.987846421,1786042693.3332915
880,0.1,0.0027078879065811634,8.8e-06,4.4000000000000006e-05,0.00020979400005671778,0.6763881149997815,117,656.051353874,1786042700.3244839
890,0.1,0.008770287036895752,8.900000000000001e-06,4.4500000000000004e-05,0.00022149899996293243,0.6948442509999495,110,663.903829756,1786042707.3880413
900,0.1,0.0038039973005652428,9e-06,4.5e-05,0.00020573000006152142,0.6816322820000096,109,671.023511372,1786042715.240421
910,0.1,0.01574932411313057,9.100000000000001e-06,4.55e-05,0.0002530659999138152,0.7294452030000684,112,678.010521474,1786042722.3600817
920,0.1,0.003647005185484886,9.200000000000002e-06,4.600000000000001e-05,0.0002324060001228645,0.6957032029999937,113,685.257652309,1786042729.3468797
930,0.1,0.004382061772048473,9.3e-06,4.6500000000000005e-05,0.0002309760000116512,0.849854601999823,117,693.24867357,1786042736.5942516
940,0.11,0.008938303217291832,9.4e-06,4.7e-05,0.0005836810000801052,0.7326671050000186,118,700.316110825,1786042744.5851848
950,0.11,0.0021162235643714666,9.5e-06,4.75e-05,0.00020970200012015994,0.7099778359997799,111,707.397253252,1786042751.6526482
960,0.11,0.0010418480960652232,9.600000000000001e-06,4.8e-05,0.00021694600013688614,0.7035409540001183,109,714.838218191,1786042758.7338789
970,0.11,0.00046181349898688495,9.7e-06,4.85e-05,0.00022362599997904908,0.8628011520002019,111,722.741777297,1786042766.174863
980,0.11,0.03595217689871788,9.800000000000001e-06,4.9e-05,0.00022322099994198652,0.733041761000095,119,730.054150185,1786042774.0784402
